,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
405,104 ST,02/20/2020,4007,4640,212,0.8570460704607046
406,104 ST,02/21/2020,3876,4640,212,0.8274616079494128
407,104 ST,02/22/2020,2112,4640,212,0.4290876242095754
408,104 ST,02/23/2020,1513,4640,212,0.2938121047877145
409,104 ST,02/24/2020,4462,4640,212,0.9598012646793135
410,104 ST,02/25/2020,4576,4640,212,0.985546522131888
411,104 ST,02/26/2020,4508,4640,212,0.9701897018970189
412,104 ST,02/27/2020,4640,4640,212,1.0
413,104 ST,02/28/2020,4346,4640,212,0.9336043360433605
414,104 ST,02/29/2020,2105,4640,212,0.4275067750677507
415,104 ST,03/01/2020,1473,4640,212,0.28477868112014454
416,104 ST,03/02/2020,4531,4640,212,0.9753839205058717
